Comm Code,Commodity,total
1201,"SOYBEANS, WHETHER OR NOT BROKEN",12764555832
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",11381074431
8703,MOTOR CARS & VEHICLES FOR TRANSPO,9284761335
8542,"ELECTRONIC INTEGRATED CIRCUITS & MICROASSEMBL, PTS",5670115603
8486,MACH/APPS FOR MANUFCT OF SEMIC,2999969295
8708,PARTS & ACCESS FOR MOTOR,2363044306
4707,WASTE AND SCRAP OF PAPER OR PAPERBOARD,2165407886
8517,ELECTRIC APPARATUS FOR LINE TEL,2052092393
4407,"WOOD SAWN OR CHIPPED LENGTH, SLICED ETC, OV6MM TH",1683832789
9018,"MEDICAL, SURGICAL, DENTAL",1620860589
7404,COPPER WASTE AND SCRAP,1489255111
8481,"TAPS, COCKS, VALVES ETC FOR PIPES, TANKS ETC, PTS",1391715090
1007,GRAIN SORGHUM,1153014665
8471,AUTOMATIC DATA PROCESS MACHINES;,1029648036
9027,INST ETC FOR PHYSICAL ETC,1017066369
4101,RAW HIDES & SKINS OF BOVINE OR EQUIN,1002512701
2711,PETROLEUM GASES & OTHER GASEOUS HYDROCARBONS,993977512
8413,PUMPS FOR LIQUIDS; LIQUID ELEVATORS; PARTS THEREOF,874297432
3004,"MEDICAMENTS NESOI, MIXED O",807183106
4703,"CHEMICAL WOODPULP, SODA OR SULFATE, NOT DISSOLY GR",802268582
8421,CENTRIFUGES; FILTER ETC MACH FOR LIQ OR GASES; P,791663712
8479,"MACHINES ETC HAVING INDIVIDUAL FUNCTIONS NESOI, PT",786866107
3002,HUMAN BLOOD; ANIMAL BLOO,780639055
3907,"POLYETHERS, EXPOXIDES & POL",755864298
9030,"OSCILLOSCOPES, SPECTRUM ANAL",729571475
9021,ORTHOPEDIC APPL; ARTIF BODY PT,720730870
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS",709174360
7602,ALUMINUM WASTE AND SCRAP,689079322
8401,NUCLEAR REACTORS; FUEL ELEM (N-I,681288274
8473,PARTS ETC FOR TYPEWRITERS & OTHER OFFICE MACHINES,679188082
2401,"TOBACCO, UNMANUFACTURED; TOBACCO REFUSE",650767201
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",600130965
4403,"WOOD IN THE ROUGH, STRIPPED OR NOT OF SAPWOOD ETC",598908479
7204,FERROUS WASTE & SCRAP; REMELT SCR IRON/STEEL INGOT,581099650
2303,RESIDUES OF STARCH MFR OR SU,575052479
8541,SEMICONDUCTOR DEVICES; LIGH,536267370
9880,LOW VALUE EXP SHP; CANADIAN. EST LATE RECEIPTS,529645785
2710,OIL (NOT CRUDE) FROM PETR,522982568
5201,"COTTON, NOT CARDED OR COMBED",509683001
3920,"PLATES, SHEETS, FILM ETC",498802701
9022,X-RAY ETC APPARATUS; TUB,483456997
7403,"REFINED COPPER & ALLOYS (NO MAST ALLOY), UNWROUGHT",463390946
1214,"RUTABAGAS, HAY, CLOVER &",451219935
3815,REACTION INITIATORS & ACCELER & CATALYT PREP NESOI,435671386
8536,ELECTRICAL APPARATUS FOR,431832108
9031,"MACHINES, NESOI IN CHAPTER 90; PROFILE PROJECT, PT",428711983
2207,"ETHYL ALCOHOL, UNDENAT, NUN80",420736251
9001,OPT FIBERS & BUND ETC; POL SHEETS;,416620659
2902,CYCLIC HYDROCARBONS,415186261
8544,"INSULATED WIRE, CABLE ETC;",411728202
