Comm Code,Commodity,total
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",15302435584
1201,"SOYBEANS, WHETHER OR NOT BROKEN",10928765498
8703,MOTOR CARS & VEHICLES FOR TRANSPO,10365709126
2709,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS,6358994062
8542,"ELECTRONIC INTEGRATED CIRCUITS & MICROASSEMBL, PTS",4659296273
8486,MACH/APPS FOR MANUFCT OF SEMIC,4106049218
9018,"MEDICAL, SURGICAL, DENTAL",3082454988
8708,PARTS & ACCESS FOR MOTOR,2925948928
2711,PETROLEUM GASES & OTHER GASEOUS HYDROCARBONS,2135501692
5201,"COTTON, NOT CARDED OR COMBED",2093837426
9027,INST ETC FOR PHYSICAL ETC,1876872616
1007,GRAIN SORGHUM,1840589209
3004,"MEDICAMENTS NESOI, MIXED O",1656558690
7404,COPPER WASTE AND SCRAP,1603928416
4707,WASTE AND SCRAP OF PAPER OR PAPERBOARD,1538690613
7108,"GOLD (INCL PLAT PLATED), UNWR, SEMIMFR OR POWDER",1506216696
8471,AUTOMATIC DATA PROCESS MACHINES;,1494322308
4407,"WOOD SAWN OR CHIPPED LENGTH, SLICED ETC, OV6MM TH",1468370007
8517,ELECTRIC APPARATUS FOR LINE TEL,1253275319
8481,"TAPS, COCKS, VALVES ETC FOR PIPES, TANKS ETC, PTS",1216591168
4403,"WOOD IN THE ROUGH, STRIPPED OR NOT OF SAPWOOD ETC",1155059470
4703,"CHEMICAL WOODPULP, SODA OR SULFATE, NOT DISSOLY GR",1074468624
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS",979308066
8421,CENTRIFUGES; FILTER ETC MACH FOR LIQ OR GASES; P,962158307
3822,"COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMACEUT",938707586
4101,RAW HIDES & SKINS OF BOVINE OR EQUIN,907966908
7602,ALUMINUM WASTE AND SCRAP,907449205
9030,"OSCILLOSCOPES, SPECTRUM ANAL",870088348
2710,OIL (NOT CRUDE) FROM PETR,827974595
9021,ORTHOPEDIC APPL; ARTIF BODY PT,806726937
8536,ELECTRICAL APPARATUS FOR,779132301
7204,FERROUS WASTE & SCRAP; REMELT SCR IRON/STEEL INGOT,761870196
9022,X-RAY ETC APPARATUS; TUB,735756874
3002,HUMAN BLOOD; ANIMAL BLOO,735659602
3907,"POLYETHERS, EXPOXIDES & POL",707720485
3920,"PLATES, SHEETS, FILM ETC",672747339
2603,COPPER ORES AND CONCENTRATES,649606337
9880,LOW VALUE EXP SHP; CANADIAN. EST LATE RECEIPTS,631254542
2701,"COAL; BRIQUETTES, OVOIDS ETC. MFR FROM COAL",626028271
8523,PREPARED UNRECORDED MEDIA (NO FILM) FOR SOUND ETC.,586168496
3815,REACTION INITIATORS & ACCELER & CATALYT PREP NESOI,564860868
8473,PARTS ETC FOR TYPEWRITERS & OTHER OFFICE MACHINES,554313588
8541,SEMICONDUCTOR DEVICES; LIGH,540298333
9031,"MACHINES, NESOI IN CHAPTER 90; PROFILE PROJECT, PT",531251820
9013,LIQUID CRYSTAL DEVICES NESOI; LASERS; OP,506675688
3904,"POLYMERS OF VINYL CHLORIDE ETC., IN PRIMARY FORMS",505951922
9801,EXPTS OF REPAIRED IMPTS; IMPTS O,503119667
8537,"BOARDS, PANELS ETC ELEC SW",494503960
3926,ARTICLES OF PLASTICS (INC POLYMERS & RESINS) NESOI,459679176
8413,PUMPS FOR LIQUIDS; LIQUID ELEVATORS; PARTS THEREOF,449669664
